"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1,C2,C3,C4,C8,C12,C20,C22,C23,C24,C25,C29,C33,C34","14","CL05B104KB54PNC","","","","Basic_Capacitors_Resistors:C0402","https://item.szlcsc.com/15869.html","100nF ±10% 50V Ceramic Capacitor X7R 0402"
"C5","1","CL10A475KO8NNNC","","","","Basic_Capacitors_Resistors:C0603","https://item.szlcsc.com/362304.html","CAP CER 4.7uF 16V X5R 0603"
"C6,C14,C15,C16,C17,C18,C19","7","CL05B103KB5NNNC","","","","Basic_Capacitors_Resistors:C0402","https://item.szlcsc.com/15869.html","10nF ±10% 50V Ceramic Capacitor X7R 0402"
"C7,C9,C13,C26,C28,C30,C32","7","CL05A105KA5NQNC","","","","Basic_Capacitors_Resistors:C0402","https://item.szlcsc.com/15869.html","1uF ±10% 25V Ceramic Capacitor X5R 0402"
"C10,C11","2","0402CG200J500NT","","","","Basic_Capacitors_Resistors:C0402","https://item.szlcsc.com/15869.html","20pF ±5% 50V Ceramic Capacitor C0G 0402"
"C21,C27,C31","3","CL10A226MQ8NRNC","","","","Basic_Capacitors_Resistors:C0603","https://item.szlcsc.com/362304.html","22uF ±20% 6.3V Ceramic Capacitor X5R 0603"
"D1","1","1N4148WS","","","","Diode_SMD:D_SOD-323","https://www.vishay.com/docs/85751/1n4148ws.pdf","75V 0.15A Fast switching Diode, SOD-323"
"D2,D3","2","BZT52B5V1S","","","","Diode:SOD-323_L1.7-W1.3-LS2.6-RD","https://atta.szlcsc.com/upload/public/pdf/source/20200225/C485496_BB753C4664B20481CFEA6C9542536A94.pdf",""
"J1","1","TYPE-C-31-M-12","","","","Connector_USB:USB-C_SMD-TYPE-C-31-M-12_1","https://item.szlcsc.com/datasheet/TYPE-C-31-M-12/177331.html?spm=sc.gbn.xds.a___sc.gbn.hd.ss&lcsc_vid=RgMNUVYEQARbV1xTElVcVwIAFFBXVwBfEQdfX1UCRAcxVlNTQFBcUlFXT1hYVTsOAxUeFF5JWA0NAgAHWQIASA%3D%3D",""
"J2","1","XT30U-M","","","","Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal","https://atta.szlcsc.com/upload/public/pdf/source/20170606/1496716542582.pdf",""
"J3","1","XT60PW-M","DNP","","","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","https://atta.szlcsc.com/upload/public/pdf/source/20180125/C98732_15168617837851301983.pdf",""
"J4,J5","2","XY-XH2_54-2A21","","","","Connector_XH2.54:HDR-TH_2P-P2.50_XY-XH2.54-2A21","https://atta.szlcsc.com/upload/public/pdf/source/20231124/D66390E8C06C0EE50596E66A88591188.pdf",""
"J6","1","Conn_01x02","","","","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J7","1","XY-XH2_54-2A21","DNP","","","Connector_XH2.54:HDR-TH_2P-P2.50_XY-XH2.54-2A21","https://atta.szlcsc.com/upload/public/pdf/source/20231124/D66390E8C06C0EE50596E66A88591188.pdf",""
"J8,J9","2","XY-SH1_0-6A51","DNP","","","Connector_SH1.0:CONN-SMD_6P-P1.00_XY-SH1.0-6A51","https://atta.szlcsc.com/upload/public/pdf/source/20231128/C6B60C64F4338683BC8BC065CCF39725.pdf",""
"J10","1","XY-SH1_0-4A61","","","","Connector_SH1.0:CONN-SMD_4P-P1.00-WT","https://cn.bing.com/search?q=datasheet1.0WT-2P",""
"J11","1","XY-XH2_54-3A11","DNP","","","Connector_XH2.54:HDR-TH_3P-P2.50-V-F-2","https://atta.szlcsc.com/upload/public/pdf/source/20230919/F0DE05943B9FA56F5E26D8736A3970EA.pdf",""
"L1,L2","2","PRS3015-470MT","","","","Inductor:IND-SMD_L3.0-W3.0_PRS3015","https://item.szlcsc.com/97352.html",""
"LED1","1","KT-0603W","","","","LED:LED0603-R-RD_WHITE","https://atta.szlcsc.com/upload/public/pdf/source/20180604/C192669_B0D472CB769BD043C4F2A33F1E72AA62.pdf",""
"LED2","1","KT-0603R","","","","LED:LED0603-RD","https://item.szlcsc.com/347874.html",""
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23"
"R1,R3,R13,R14,R20,R22","6","0402WGF5101TCE","","","","Basic_Capacitors_Resistors:R0402","https://item.szlcsc.com/323315.html","5.1kΩ ±1% 62.5mW 0402 Thick Film Resistor"
"R2,R15","2","0402WGF3300TCE","","","","Basic_Capacitors_Resistors:R0402","https://item.szlcsc.com/323315.html","RES 330Ω ±1% 62.5mW 0402"
"R4,R6,R16,R18","4","0402WGF1002TCE","","","","Basic_Capacitors_Resistors:R0402","https://item.szlcsc.com/323315.html","10kΩ ±1% 62.5mW 0402 Thick Film Resistor"
"R5,R19,R21","3","0402WGF1003TCE","","","","Basic_Capacitors_Resistors:R0402","https://item.szlcsc.com/323315.html","100kΩ ±1% 62.5mW 0402 Thick Film Resistor"
"R7,R8,R9,R10,R11,R12","6","0402WGF499JTCE","","","","Basic_Capacitors_Resistors:R0402","https://item.szlcsc.com/323315.html","49.9Ω ±1% 62.5mW 0402 Thick Film Resistor"
"R17","1","0402WGF1200TCE","","","","Basic_Capacitors_Resistors:R0402","https://item.szlcsc.com/323315.html","120Ω ±1% 62.5mW 0402 Thick Film Resistor"
"SW2,SW3","2","TS1187A26020","","","","Switch:SW-SMD_4P-L5.2-W5.2-1","https://atta.szlcsc.com/upload/public/pdf/source/20240320/DB82FD9773CCA5064BFEA54B1A9AE2A7.pdf",""
"U1","1","STM32G473RBTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g473rb.pdf","STMicroelectronics Arm Cortex-M4 MCU, 128KB flash, 128KB RAM, 170 MHz, 1.71-3.6V, 52 GPIO, LQFP64"
"U4","1","XC6206P332MR","","","","Regulator_Linear:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","https://item.szlcsc.com/14454.html",""
"U5","1","CA-IF1044VD-Q1","","","","Interface_CAN_LIN:DFN-8_L3.0-W3.0-P0.65-BL-EP2.45","https://img.jlc.com/pdf/applyPasteComponent/2023-03-02/5356285A/ddb042fd7bd043febc14583bb55c8ec3/2901.pdf",""
"U6,U7","2","DRV8316CRRGFR","","","","Motor_Driver:VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7","https://www.ti.com/lit/ds/symlink/mct8316z-q1.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1659859714806&ref_url=https%253A%252F%252Fwww.mouser.com%252F",""
"U8,U9","2","MT6701QT","","","","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm","https://www.magntek.com.cn/upload/MT6701_Rev.1.5.pdf","Hall Based Angle Position Encoder Sensor, I2C, SSI, ABZ & UVW interfaces, 3.3..5V supply, QFN-16"
"X1","1","X322512MSB4SI","","","","Oscillator:X322512MSB4SI","https://item.szlcsc.com/15866.html","Crystal 12MHz ±10ppm 20pF SMD3225-4P"
